; ISO 3166-2:MX
; Source: https://www.iso.org/obp/ui/#iso:code:3166:MX
; Extracted on: 20170911
;
; Subdivision category	3166-2 code	Subdivision name	Language code	Romanization system	Parent subdivision
state	MX-AGU	Aguascalientes	es		
state	MX-BCN	Baja California	es		
state	MX-BCS	Baja California Sur	es		
state	MX-CAM	Campeche	es		
state	MX-CHP	Chiapas	es		
state	MX-CHH	Chihuahua	es		
federal district	MX-CMX	Ciudad de Mexico	es		
state	MX-COA	Coahuila de Zaragoza	es		
state	MX-COL	Colima	es		
state	MX-DUR	Durango	es		
state	MX-GUA	Guanajuato	es		
state	MX-GRO	Guerrero	es		
state	MX-HID	Hidalgo	es		
state	MX-JAL	Jalisco	es		
state	MX-MIC	Michoacán de Ocampo	es		
state	MX-MOR	Morelos	es		
state	MX-MEX	México	es		
state	MX-NAY	Nayarit	es		
state	MX-NLE	Nuevo León	es		
state	MX-OAX	Oaxaca	es		
state	MX-PUE	Puebla	es		
state	MX-QUE	Querétaro	es		
state	MX-ROO	Quintana Roo	es		
state	MX-SLP	San Luis Potosí	es		
state	MX-SIN	Sinaloa	es		
state	MX-SON	Sonora	es		
state	MX-TAB	Tabasco	es		
state	MX-TAM	Tamaulipas	es		
state	MX-TLA	Tlaxcala	es		
state	MX-VER	Veracruz de Ignacio de la Llave	es		
state	MX-YUC	Yucatán	es		
state	MX-ZAC	Zacatecas	es		
