; ISO 3166-2:AL
; Source: https://www.iso.org/obp/ui/#iso:code:3166:AL
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
county	AL-01	Berat		sq		
county	AL-09	Dibër		sq		
county	AL-02	Durrës		sq		
county	AL-03	Elbasan		sq		
county	AL-04	Fier		sq		
county	AL-05	Gjirokastër		sq		
county	AL-06	Korçë		sq		
county	AL-07	Kukës		sq		
county	AL-08	Lezhë		sq		
county	AL-10	Shkodër		sq		
county	AL-11	Tiranë		sq		
county	AL-12	Vlorë		sq		
