; ISO 3166-2:BI
; Source: https://www.iso.org/obp/ui/#iso:code:3166:BI
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
province	BI-BB*	Bubanza		fr		
province	BI-BB*	Bubanza		rn		
province	BI-BM*	Bujumbura Mairie		fr		
province	BI-BM*	Bujumbura Mairie		rn		
province	BI-BL*	Bujumbura Rural		fr		
province	BI-BL*	Bujumbura Rural		rn		
province	BI-BR*	Bururi		fr		
province	BI-BR*	Bururi		rn		
province	BI-CA*	Cankuzo		fr		
province	BI-CA*	Cankuzo		rn		
province	BI-CI*	Cibitoke		fr		
province	BI-CI*	Cibitoke		rn		
province	BI-GI*	Gitega		fr		
province	BI-GI*	Gitega		rn		
province	BI-KR*	Karuzi		fr		
province	BI-KR*	Karuzi		rn		
province	BI-KY*	Kayanza		fr		
province	BI-KY*	Kayanza		rn		
province	BI-KI*	Kirundo		fr		
province	BI-KI*	Kirundo		rn		
province	BI-MA*	Makamba		fr		
province	BI-MA*	Makamba		rn		
province	BI-MU*	Muramvya		fr		
province	BI-MU*	Muramvya		rn		
province	BI-MY*	Muyinga		fr		
province	BI-MY*	Muyinga		rn		
province	BI-MW*	Mwaro		fr		
province	BI-MW*	Mwaro		rn		
province	BI-NG*	Ngozi		fr		
province	BI-NG*	Ngozi		rn		
province	BI-RM*	Rumonge		fr		
province	BI-RM*	Rumonge		rn		
province	BI-RT*	Rutana		fr		
province	BI-RT*	Rutana		rn		
province	BI-RY*	Ruyigi		fr		
province	BI-RY*	Ruyigi		rn		
