; ISO 3166-2:CU
; Source: https://www.iso.org/obp/ui/#iso:code:3166:CU
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
province	CU-15*	Artemisa		es		
province	CU-09	Camagüey		es		
province	CU-08	Ciego de Ávila		es		
province	CU-06	Cienfuegos		es		
province	CU-12	Granma		es		
province	CU-14	Guantánamo		es		
province	CU-11	Holguín		es		
special municipality	CU-99	Isla de la Juventud		es		
province	CU-03	La Habana		es		
province	CU-10	Las Tunas		es		
province	CU-04	Matanzas		es		
province	CU-16*	Mayabeque		es		
province	CU-01	Pinar del Río		es		
province	CU-07	Sancti Spíritus		es		
province	CU-13	Santiago de Cuba		es		
province	CU-05	Villa Clara		es		
