; ISO 3166-2:KH
; Source: https://www.iso.org/obp/ui/#iso:code:3166:KH
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
province	KH-2	Baat Dambang	Battambang	km	National draft 1997	
province	KH-1	Banteay Mean Choăy	Banteay Meanchey	km	National draft 1997	
province	KH-1	Bântéay Méan Choăy		km	BGN/PCGN 1972	
province	KH-2	Bătdâmbâng		km	BGN/PCGN 1972	
province	KH-23	Kaeb	Kep	km	National draft 1997	
province	KH-3	Kampong Chaam	Kampong Cham	km	National draft 1997	
province	KH-4	Kampong Chhnang		km	National draft 1997	
province	KH-5	Kampong Spueu	Kampong Speu	km	National draft 1997	
province	KH-6	Kampong Thum	Kampong Thom	km	National draft 1997	
province	KH-7	Kampot		km	National draft 1997	
province	KH-8	Kandaal	Kandal	km	National draft 1997	
province	KH-9	Kaoh Kong	Koh Kong	km	National draft 1997	
province	KH-9	Kaôh Kŏng		km	BGN/PCGN 1972	
province	KH-10	Kracheh	Kratie	km	National draft 1997	
province	KH-10	Krâchéh		km	BGN/PCGN 1972	
province	KH-3	Kâmpóng Cham		km	BGN/PCGN 1972	
province	KH-4	Kâmpóng Chhnăng		km	BGN/PCGN 1972	
province	KH-5	Kâmpóng Spœ		km	BGN/PCGN 1972	
province	KH-6	Kâmpóng Thum		km	BGN/PCGN 1972	
province	KH-7	Kâmpôt		km	BGN/PCGN 1972	
province	KH-8	Kândal		km	BGN/PCGN 1972	
province	KH-23	Kêb		km	BGN/PCGN 1972	
province	KH-11	Mondol Kiri	Mondolkiri	km	National draft 1997	
province	KH-11	Môndól Kiri		km	BGN/PCGN 1972	
province	KH-22	Otdar Mean Chey	Oddar Meanchey	km	National draft 1997	
province	KH-24*	Pailin		km	National draft 1997	
province	KH-24*	Pailĭn		km	BGN/PCGN 1972	
autonomous municipality	KH-12	Phnom Penh		km	National draft 1997	
autonomous municipality	KH-12	Phnum Pénh		km	BGN/PCGN 1972	
province	KH-15	Pousaat	Pursat	km	National draft 1997	
province	KH-15	Poŭthĭsăt		km	BGN/PCGN 1972	
province	KH-18	Preah Sihanouk	Sihanoukville	km	National draft 1997	
province	KH-13	Preah Vihear		km	National draft 1997	
province	KH-14	Prey Veaeng		km	National draft 1997	
province	KH-14	Prey Vêng	Prey Veng	km	BGN/PCGN 1972	
province	KH-18	Preăh Seihânŭ		km	BGN/PCGN 1972	
province	KH-13	Preăh Vihéar		km	BGN/PCGN 1972	
province	KH-16	Rotanak Kiri	Ratanakiri	km	National draft 1997	
province	KH-16	Rôtânôkiri		km	BGN/PCGN 1972	
province	KH-17	Siem Reab	Siem Reap	km	National draft 1997	
province	KH-17	Siĕmréab		km	BGN/PCGN 1972	
province	KH-19	Stoĕng Trêng		km	BGN/PCGN 1972	
province	KH-19	Stueng Traeng	Stung Treng	km	National draft 1997	
province	KH-20	Svaay Rieng	Svay Rieng	km	National draft 1997	
province	KH-20	Svay Riĕng		km	BGN/PCGN 1972	
province	KH-21	Taakaev	Takeo	km	National draft 1997	
province	KH-21	Takêv		km	BGN/PCGN 1972	
province	KH-25*	Tbong Khmum		km	National draft 1997	
province	KH-25*	Tbong Khmŭm		km	BGN/PCGN 1972	
province	KH-22	Ŏtdâr Méan Choăy		km	BGN/PCGN 1972	
