; ISO 3166-2:PG
; Source: https://www.iso.org/obp/ui/#iso:code:3166:PG
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
autonomous region	PG-NSB	Bougainville		en		
province	PG-CPM	Central		en		
province	PG-CPK	Chimbu		en		
province	PG-EBR	East New Britain		en		
province	PG-ESW	East Sepik		en		
province	PG-EHG	Eastern Highlands		en		
province	PG-EPW	Enga		en		
province	PG-GPK	Gulf		en		
province	PG-HLA*	Hela		en		
province	PG-JWK*	Jiwaka		en		
province	PG-MPM	Madang		en		
province	PG-MRL	Manus		en		
province	PG-MBA	Milne Bay		en		
province	PG-MPL	Morobe		en		
district	PG-NCD	National Capital District (Port Moresby)		en		
province	PG-NIK	New Ireland		en		
province	PG-NPP	Northern		en		
province	PG-SHM	Southern Highlands		en		
province	PG-WBK	West New Britain		en		
province	PG-SAN	West Sepik		en		
province	PG-WPD	Western		en		
province	PG-WHM	Western Highlands		en		
