; ISO 3166-2:SA
; Source: https://www.iso.org/obp/ui/#iso:code:3166:SA
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
region	SA-14	'Asīr		ar	BGN/PCGN 1956	
region	SA-11	Al Bāḩah		ar	BGN/PCGN 1956	
region	SA-12	Al Jawf		ar	BGN/PCGN 1956	
region	SA-03	Al Madīnah al Munawwarah		ar	BGN/PCGN 1956	
region	SA-05	Al Qaşīm		ar	BGN/PCGN 1956	
region	SA-08	Al Ḩudūd ash Shamālīyah		ar	BGN/PCGN 1956	
region	SA-01	Ar Riyāḑ		ar	BGN/PCGN 1956	
region	SA-04	Ash Sharqīyah		ar	BGN/PCGN 1956	
region	SA-09	Jāzān		ar	BGN/PCGN 1956	
region	SA-02	Makkah al Mukarramah		ar	BGN/PCGN 1956	
region	SA-10	Najrān		ar	BGN/PCGN 1956	
region	SA-07	Tabūk		ar	BGN/PCGN 1956	
region	SA-06	Ḩā'il		ar	BGN/PCGN 1956	
